distribution,num_cells,brute_force_time,kd_tree_time,grid_search_time,kd_speedup,grid_speedup
single_line,20000,141023,28859,1617284,4.886621158044284,0.08719742481839925
multi_lines,20000,133517,16174,506660,8.255038951403487,0.263523862156081
cross_lines,20000,137942,13880,278662,9.938184438040345,0.49501546676618985
spiral,20000,136010,26306,386380,5.1703033528472595,0.3520109736528806
sine_wave,20000,124440,14615,49358,8.514539856312009,2.5211718465091777
extreme_sparse,20000,130367,79820,1506,1.6332623402655977,86.56507304116866
